Pipeline,Size (MB),Sparsity (%),Accuracy,Latency (ms)
Baseline,42.73,0.00,0.1141,1.62
MagnitudePruner,42.73,25.00,0.1120,1.27
MagnitudePruner,42.73,50.00,0.1150,1.30
StructuredPruner,42.73,25.00,0.1001,1.40
DynamicQuantizer,42.71,0.00,0.0998,1.50
DynamicQuantizer,42.71,0.00,0.0919,1.51
MagnitudePruner,42.73,25.00,0.1142,1.43
MagnitudePruner -> DynamicQuantizer,42.71,25.01,0.1335,1.75
MagnitudePruner,42.73,50.00,0.0880,1.68
MagnitudePruner -> DynamicQuantizer,42.71,50.01,0.0936,1.78
StructuredPruner,42.73,25.00,0.1071,1.46
StructuredPruner -> DynamicQuantizer,42.71,25.00,0.1019,1.75
MagnitudePruner,42.73,25.00,0.1096,1.45
MagnitudePruner,42.73,50.00,0.1138,1.45
StructuredPruner,42.73,25.00,0.1010,1.69
DynamicQuantizer,42.71,0.00,0.1269,1.80
DynamicQuantizer -> MagnitudePruner,42.71,25.00,0.1081,1.52
DynamicQuantizer -> MagnitudePruner,42.71,50.00,0.1171,1.51
DynamicQuantizer -> StructuredPruner,42.71,25.00,0.0839,1.52
